headings_match,orig_heading,aLabel,loc_id,category,url,talk_title,talk_date,order_in_day,is_speaker,display_name
False,"Grosz, Barbara Jean, 1948-",,,PERSONAL_NAME,,Beyond Mice and Menus,2003-11-14,1,True,Barbara J. Grosz
True,Computer systems,Computer systems,sh98003200,TOPIC,http://id.loc.gov/authorities/sh98003200,Beyond Mice and Menus,2003-11-14,1,False,
True,Computers,Computers,sh85029552,TOPIC,http://id.loc.gov/authorities/sh85029552,Beyond Mice and Menus,2003-11-14,1,False,
True,"Lee, Ruby B.","Lee, Ruby B.",n87821873,PERSONAL_NAME,http://id.loc.gov/authorities/n87821873,Architecture for Cyber Security,2003-11-14,2,True,Ruby B. Lee
True,Computer security,Computer security,sh90001862,TOPIC,http://id.loc.gov/authorities/sh90001862,Architecture for Cyber Security,2003-11-14,2,False,
True,Cryptography,Cryptography,sh85034453,TOPIC,http://id.loc.gov/authorities/sh85034453,Architecture for Cyber Security,2003-11-14,2,False,
True,Access control,Access control,sh99002077,TOPIC,http://id.loc.gov/authorities/sh99002077,Architecture for Cyber Security,2003-11-14,2,False,
True,"Sheshinski, Eytan","Sheshinski, Eytan",n92099890,PERSONAL_NAME,http://id.loc.gov/authorities/n92099890,Policy Implications on Bounded Rationality,2003-11-14,3,True,Eytan Sheshinski
True,Economics,Economics,sh85040850,TOPIC,http://id.loc.gov/authorities/sh85040850,Policy Implications on Bounded Rationality,2003-11-14,3,False,
True,Consumers' preferences,Consumers' preferences,sh85031496,TOPIC,http://id.loc.gov/authorities/sh85031496,Policy Implications on Bounded Rationality,2003-11-14,3,False,
True,Hazards,Hazards (Symposium),nb2013008487,TOPIC,http://id.loc.gov/authorities/nb2013008487,Policy Implications on Bounded Rationality,2003-11-14,3,False,
True,Retirement,Retirement,sh85113347,TOPIC,http://id.loc.gov/authorities/sh85113347,Policy Implications on Bounded Rationality,2003-11-14,3,False,
True,"McClellan, James E., III (James Edward), 1946-","McClellan, James E., III (James Edward), 1946-",n84190278,PERSONAL_NAME,http://id.loc.gov/authorities/n84190278,"Accident, Luck and Serendipity in Historical Research",2003-11-14,4,True,James E. McClellan III
True,Historians,Historians,sh85061091,TOPIC,http://id.loc.gov/authorities/sh85061091,"Accident, Luck and Serendipity in Historical Research",2003-11-14,4,False,
True,Historiography,Historiography,sh85061211,TOPIC,http://id.loc.gov/authorities/sh85061211,"Accident, Luck and Serendipity in Historical Research",2003-11-14,4,False,
True,Historiography,Historiography,sh85061211,TOPIC,http://id.loc.gov/authorities/sh85061211,The Study of Greek Sculpture in the 21st Century,2003-11-15,2,False,
True,"Michalowski, Piotr, 1948-","Michalowski, Piotr, 1948-",n82080661,PERSONAL_NAME,http://id.loc.gov/authorities/n82080661,Ancient Mesopotamia: An Antique Land and a Ravaged Past,2003-11-14,5,True,Piotr Michalowski
True,Iraq--History--To 634,Iraq--History--To 634,sh85067942,TOPIC,http://id.loc.gov/authorities/sh85067942,Ancient Mesopotamia: An Antique Land and a Ravaged Past,2003-11-14,5,False,
